Region_ID,T_Statistic,P_Value,Mean_Diff
"V24-CVD Bayley4,Cognitive_CG_Scaled_Score",-8.212531978661634,9.976567793094464e-10,-8.324474448711689e-06
"V24-CVD Bayley4,COG_Percentile_rank",-9.995805561570666,1.0926140439192254e-09,-6.581740746670629e-05
"V24-CVD Bayley4,Receptive_Communication_RC_Scaled_Score",-9.262904906761392,3.1110682363411317e-09,-1.0105518345950681e-05
"V24-CVD Bayley4,RC_EC_Score_1",-9.262904906761392,3.1110682363411317e-09,-1.0105518345950681e-05
"V24-CVD Bayley4,FM_GM_Score_1",-7.378972136413266,1.2721627460043998e-08,-6.905808748779649e-06
"V24-CVD Bayley4,Fine_Motor_FM_Scaled_Score",-7.378972136413266,1.2721627460043998e-08,-6.905808748779649e-06
"V24-CVD Bayley4,LANG_Percentile_rank",-9.940471735459303,1.6028715243387118e-08,-7.401364322391953e-05
"V24-CVD Bayley4,Expressive_Communication_EC_Scaled_Score",-7.158797198754898,6.807845471629846e-08,-6.772711100532783e-06
"V24-CVD Bayley4,RC_EC_Score_2",-7.158797198754898,6.807845471629846e-08,-6.772711100532783e-06
"V24-CVD Bayley4,FM_GM_Score_2",-6.7291085252827125,1.0349653932570324e-07,-5.333756820224091e-06
"V24-CVD Bayley4,Gross_Motor_GM_Scaled_Score",-6.7291085252827125,1.0349653932570324e-07,-5.333756820224091e-06
"V24-CVD Bayley4,CL_Score_Score_2",-6.16532013827174,6.799445365997881e-07,-3.7076843287170896e-05
"V24-CVD Bayley4,LANG_Standard_score",-6.16532013827174,6.799445365997881e-07,-3.7076843287170896e-05
"V24-CVD Bayley4,LM_Score_Score_1",-6.16532013827174,6.799445365997881e-07,-3.7076843287170896e-05
"V24-CVD Bayley4,Expressive_Communication_EC_RAW_Score",-5.954105337257537,8.071349105470932e-07,-2.0804769542379743e-05
"V24-CVD Bayley4,Receptive_Communication_RC_RAW_Score",-6.205984602858768,9.375781563054964e-07,-2.384540149447665e-05
85,5.149720152002009,2.5288883585419863e-06,0.001295973849103584
"V24 Bayley4,Cognitive_CG_Scaled_Score",-6.497215593729099,3.2879943090063546e-06,-7.280637449145092e-06
"V24-CVD Bayley4,MOT_Percentile_rank",-6.519505456946095,5.159656346941086e-06,-5.042650975114732e-05
"V24-CVD demographics,age_today",5.158006862973976,6.432779932491163e-06,2.4710596256705697e-05
"V24-CVD Bayley4,COG_Standard_score",-5.09332943339974,1.1385289434477069e-05,-3.18524596738339e-05
"V24-CVD Bayley4,CL_Score_Score_1",-5.09332943339974,1.1385289434477069e-05,-3.18524596738339e-05
"V24-CVD Bayley4,CM_Score_Score_1",-5.09332943339974,1.1385289434477069e-05,-3.18524596738339e-05
"V24-CVD Bayley4,CM_Score_Score_2",-5.162831557294716,1.1682625070774906e-05,-2.550966842897771e-05
"V24-CVD Bayley4,MOT_Standard_score",-5.162831557294716,1.1682625070774906e-05,-2.550966842897771e-05
"V24-CVD Bayley4,LM_Score_Score_2",-5.162831557294716,1.1682625070774906e-05,-2.550966842897771e-05
