AAL_region,column_name,n_DS,n_Control,mean_DS,mean_Control,t_stat,p_value
1,1_norm_ICV,36,35,0.007318846690439814,0.006949359027896131,0.7739794510333209,0.44172330689844974
3,3_norm_ICV,36,35,0.008568154766148283,0.009696932357884205,-1.48840470580506,0.14121571240655265
5,5_norm_ICV,36,35,0.0028145251710780857,0.0028126075271920114,0.01976715027211253,0.9842868925644639
7,7_norm_ICV,36,35,0.011181261370635253,0.011530337661808561,-0.4060243453353854,0.6859817063407871
9,9_norm_ICV,36,35,0.0017989553735138055,0.001757992862004011,0.37004607045210564,0.7125034895672833
11,11_norm_ICV,36,35,0.002508535673563015,0.0020448518596648574,2.8442886403024397,0.00647770148658954
13,13_norm_ICV,36,35,0.0041951632230318465,0.0034282236708235757,2.5134352392286123,0.014569486431593354
15,15_norm_ICV,36,35,0.005527786585964128,0.004615627356283139,3.2338171229639516,0.001875893993650459
17,17_norm_ICV,36,35,0.002288827982919381,0.0017936185832919877,3.520824739252851,0.0008271961327915864
19,19_norm_ICV,36,35,0.004741266875288154,0.005845541083732085,-2.215214757469489,0.030283511886872626
21,21_norm_ICV,36,35,0.0014847396779653034,0.0013925429176887625,1.1663712326182272,0.24842233640043462
23,23_norm_ICV,36,35,0.00668482623950217,0.009167980168693891,-3.0067151696663657,0.003682151015157185
25,25_norm_ICV,36,35,0.0012595640624781066,0.0017996482701132833,-3.3832843165276074,0.001193577788810102
27,27_norm_ICV,36,35,0.002170844119643354,0.0021363651945576754,0.2873825604715299,0.774722022774766
29,29_norm_ICV,36,35,0.0030013852783672685,0.002409696395058098,4.488925943605331,3.2476990704644697e-05
31,31_norm_ICV,36,35,0.0007589657697074482,0.0010442646898774256,-3.0163370417135367,0.0036231087148419715
33,33_norm_ICV,36,35,0.0010090127120535586,0.0010796384912385912,-0.6375492651998921,0.5262212541628833
35,35_norm_ICV,36,35,0.000428999241171338,0.00037381112971171326,1.0042057004772946,0.3187971512203286
39,39_norm_ICV,36,35,0.0025339555618341387,0.0022736503871752076,1.0449660065235087,0.30097747736322905
43,43_norm_ICV,36,35,0.00350465041204417,0.0029570993806066026,1.863776019987627,0.0668533947987848
45,45_norm_ICV,36,35,0.0031957406036347566,0.0029748809158348364,1.039875774752661,0.30235702546062243
47,47_norm_ICV,36,35,0.0032188003103957355,0.002516397909114488,3.926763517918856,0.00021765563272066826
49,49_norm_ICV,36,35,0.0010649028097411077,0.001120005195705876,-0.5955126405864568,0.5534567618350137
51,51_norm_ICV,36,35,0.004428186436110667,0.003995376224321343,2.0324408140917702,0.04609680778303414
53,53_norm_ICV,36,35,0.0022506134919123536,0.0020275801145691916,1.4311987039379865,0.1568953034579659
55,55_norm_ICV,36,35,0.005399096983055557,0.004345499817550754,3.7273475672180307,0.0004005552945131355
57,57_norm_ICV,36,35,0.009149895392131109,0.008766163123856946,0.6794563170172134,0.49914056489965497
59,59_norm_ICV,36,35,0.004151260917781949,0.004518619024163164,-1.2759314148252288,0.20674686070621934
61,61_norm_ICV,36,35,0.002421755278272028,0.0020852481527727203,2.259485226334772,0.027151434538254665
63,63_norm_ICV,36,35,0.002155851498894197,0.0020933541701618225,0.4589388049222001,0.6477763202630924
65,65_norm_ICV,36,35,0.0023225737615587615,0.0025150337820655376,-1.2692933360359684,0.20873057865969466
67,67_norm_ICV,36,35,0.006954732248453961,0.006363250216447986,1.573671249260226,0.12014071549484913
69,69_norm_ICV,36,35,0.004524429489593123,0.0048085002504666486,-0.6483443819891942,0.5189848613119762
